"id","publication_year","type","cited_by_count","is_oa","oa_status"
"https://openalex.org/W2797657329",2018,"article",493,TRUE,"green"
"https://openalex.org/W2588919095",2017,"article",492,TRUE,"gold"
"https://openalex.org/W2925662939",2019,"article",490,FALSE,"closed"
"https://openalex.org/W2571493223",2017,"article",486,TRUE,"gold"
"https://openalex.org/W2408263759",2016,"article",485,TRUE,"green"
"https://openalex.org/W2964473274",2019,"article",479,TRUE,"bronze"
"https://openalex.org/W2412183643",2016,"article",473,TRUE,"bronze"
"https://openalex.org/W3045957195",2020,"article",470,FALSE,"closed"
"https://openalex.org/W2791441665",2018,"article",468,FALSE,"closed"
"https://openalex.org/W2737030839",2017,"article",466,FALSE,"closed"
"https://openalex.org/W3122074236",2017,"article",466,FALSE,"closed"
"https://openalex.org/W3112130234",2020,"article",462,FALSE,"closed"
"https://openalex.org/W2270769484",2016,"article",452,FALSE,"closed"
"https://openalex.org/W2994150660",2019,"article",452,TRUE,"gold"
"https://openalex.org/W2023933627",2015,"article",451,FALSE,"closed"
"https://openalex.org/W2332403844",2015,"article",450,TRUE,"bronze"
"https://openalex.org/W2989739431",2019,"article",449,FALSE,"closed"
"https://openalex.org/W3160031714",2021,"article",442,FALSE,"closed"
"https://openalex.org/W3201075143",2021,"article",442,FALSE,"closed"
"https://openalex.org/W2140276652",2015,"article",441,TRUE,"hybrid"
"https://openalex.org/W2341558148",2016,"article",436,TRUE,"green"
"https://openalex.org/W2767116473",2017,"article",436,FALSE,"closed"
"https://openalex.org/W3017270385",2020,"article",432,FALSE,"closed"
"https://openalex.org/W3157662026",2021,"article",432,FALSE,"closed"
"https://openalex.org/W2198501733",2015,"article",427,FALSE,"closed"
"https://openalex.org/W2306435538",2016,"article",426,TRUE,"bronze"
"https://openalex.org/W2062939404",2015,"article",425,TRUE,"green"
"https://openalex.org/W1763415439",2015,"article",423,FALSE,"closed"
"https://openalex.org/W2604629929",2017,"article",421,TRUE,"bronze"
"https://openalex.org/W2943896409",2019,"article",419,FALSE,"closed"
"https://openalex.org/W2426090710",2016,"article",417,TRUE,"green"
"https://openalex.org/W2788327654",2018,"article",416,TRUE,"bronze"
"https://openalex.org/W3015014633",2020,"article",416,TRUE,"green"
"https://openalex.org/W3121133327",2015,"article",416,TRUE,"green"
"https://openalex.org/W1178498256",2015,"article",412,TRUE,"green"
"https://openalex.org/W2950847777",2017,"article",412,TRUE,"hybrid"
"https://openalex.org/W2353739181",2016,"article",411,TRUE,"green"
"https://openalex.org/W3168224616",2021,"article",410,FALSE,"closed"
"https://openalex.org/W3113087152",2020,"article",409,TRUE,"bronze"
"https://openalex.org/W2618515151",2017,"article",408,FALSE,"closed"
"https://openalex.org/W2066277977",2015,"article",405,TRUE,"gold"
"https://openalex.org/W2286138398",2015,"article",394,TRUE,"green"
"https://openalex.org/W4401338748",2024,"article",393,TRUE,"gold"
"https://openalex.org/W2790313440",2018,"article",392,TRUE,"gold"
"https://openalex.org/W2910880405",2018,"article",392,TRUE,"green"
"https://openalex.org/W2922176752",2019,"article",391,TRUE,"hybrid"
"https://openalex.org/W3008419758",2020,"article",391,FALSE,"closed"
"https://openalex.org/W3126740395",2021,"article",391,TRUE,"gold"
"https://openalex.org/W2258362977",2015,"article",389,TRUE,"green"
"https://openalex.org/W3034624833",2020,"article",389,TRUE,"gold"
"https://openalex.org/W2773736816",2017,"article",388,FALSE,"closed"
"https://openalex.org/W2946554642",2019,"article",385,TRUE,"bronze"
"https://openalex.org/W2735393008",2017,"article",384,FALSE,"closed"
"https://openalex.org/W2804720779",2018,"article",384,TRUE,"green"
"https://openalex.org/W2163572346",2015,"article",382,TRUE,"bronze"
"https://openalex.org/W3035240583",2020,"article",381,TRUE,"green"
"https://openalex.org/W4210844773",2022,"article",380,FALSE,"closed"
"https://openalex.org/W3030790048",2020,"article",379,TRUE,"hybrid"
"https://openalex.org/W2295490840",2016,"article",376,TRUE,"hybrid"
"https://openalex.org/W2490192616",2016,"article",375,TRUE,"green"
"https://openalex.org/W4298325935",2022,"article",375,FALSE,"closed"
"https://openalex.org/W2976517144",2019,"article",373,FALSE,"closed"
"https://openalex.org/W1542258599",2016,"article",371,TRUE,"hybrid"
"https://openalex.org/W2794213667",2018,"article",370,FALSE,"closed"
"https://openalex.org/W2272258630",2016,"article",369,TRUE,"gold"
"https://openalex.org/W1820405213",2015,"article",367,FALSE,"closed"
"https://openalex.org/W4283812631",2022,"article",366,TRUE,"hybrid"
"https://openalex.org/W2792851500",2018,"article",365,TRUE,"bronze"
"https://openalex.org/W4289817125",2022,"article",364,FALSE,"closed"
"https://openalex.org/W771522245",2015,"article",364,FALSE,"closed"
"https://openalex.org/W2765317088",2017,"article",360,TRUE,"hybrid"
"https://openalex.org/W2258978862",2016,"article",359,TRUE,"gold"
"https://openalex.org/W2605399484",2017,"article",358,TRUE,"gold"
"https://openalex.org/W2509430297",2016,"article",357,FALSE,"closed"
"https://openalex.org/W2974326902",2019,"article",357,FALSE,"closed"
"https://openalex.org/W2140632361",2015,"article",356,FALSE,"closed"
"https://openalex.org/W3159562992",2021,"article",356,FALSE,"closed"
"https://openalex.org/W2939929407",2019,"article",355,FALSE,"closed"
"https://openalex.org/W3201244536",2021,"article",355,TRUE,"hybrid"
