"publication_year","institution","abbrev","country_code","oa_status","n","pc"
2016,"Auckland University of Technology","AUT","NZ","bronze",80,0.0665557404326123
2016,"Auckland University of Technology","AUT","NZ","closed",799,0.664725457570715
2016,"Auckland University of Technology","AUT","NZ","diamond",20,0.0166389351081531
2016,"Auckland University of Technology","AUT","NZ","gold",103,0.0856905158069883
2016,"Auckland University of Technology","AUT","NZ","green",163,0.135607321131448
2016,"Auckland University of Technology","AUT","NZ","hybrid",37,0.0307820299500832
2016,"Australian National University","ANU","AU","bronze",857,0.156329806639912
2016,"Australian National University","ANU","AU","closed",2793,0.509485589201021
2016,"Australian National University","ANU","AU","diamond",110,0.0200656694636994
2016,"Australian National University","ANU","AU","gold",524,0.0955855527179861
2016,"Australian National University","ANU","AU","green",970,0.17694272163444
2016,"Australian National University","ANU","AU","hybrid",228,0.0415906603429405
2016,"Lincoln University","LU","NZ","bronze",59,0.139810426540284
2016,"Lincoln University","LU","NZ","closed",239,0.566350710900474
2016,"Lincoln University","LU","NZ","diamond",5,0.0118483412322275
2016,"Lincoln University","LU","NZ","gold",54,0.127962085308057
2016,"Lincoln University","LU","NZ","green",26,0.0616113744075829
2016,"Lincoln University","LU","NZ","hybrid",39,0.0924170616113744
2016,"Massey University","MU","NZ","bronze",170,0.0915455035002693
2016,"Massey University","MU","NZ","closed",1208,0.650511577813678
2016,"Massey University","MU","NZ","diamond",26,0.0140010770059235
2016,"Massey University","MU","NZ","gold",193,0.103931071620894
2016,"Massey University","MU","NZ","green",169,0.091007000538503
2016,"Massey University","MU","NZ","hybrid",91,0.0490037695207324
2016,"Monash University","MAU","AU","bronze",1175,0.138675793697628
2016,"Monash University","MAU","AU","closed",4799,0.566387348046737
2016,"Monash University","MAU","AU","diamond",125,0.0147527440103859
2016,"Monash University","MAU","AU","gold",992,0.117077776466423
2016,"Monash University","MAU","AU","green",1060,0.125103269208073
2016,"Monash University","MAU","AU","hybrid",322,0.0380030685707542
2016,"The University of Adelaide","UA","AU","bronze",605,0.129301132720667
2016,"The University of Adelaide","UA","AU","closed",2722,0.581748236802736
2016,"The University of Adelaide","UA","AU","diamond",111,0.0237230177388331
2016,"The University of Adelaide","UA","AU","gold",501,0.107074161145544
2016,"The University of Adelaide","UA","AU","green",524,0.111989741397735
2016,"The University of Adelaide","UA","AU","hybrid",216,0.046163710194486
2016,"The University of Melbourne","UM","AU","bronze",1460,0.143587726199843
2016,"The University of Melbourne","UM","AU","closed",5024,0.494099134539732
2016,"The University of Melbourne","UM","AU","diamond",192,0.018882769472856
2016,"The University of Melbourne","UM","AU","gold",1377,0.135424862313139
2016,"The University of Melbourne","UM","AU","green",1593,0.156667977970102
2016,"The University of Melbourne","UM","AU","hybrid",522,0.0513375295043273
2016,"The University of Queensland","UQ","AU","bronze",1091,0.118586956521739
2016,"The University of Queensland","UQ","AU","closed",5322,0.578478260869565
2016,"The University of Queensland","UQ","AU","diamond",117,0.0127173913043478
2016,"The University of Queensland","UQ","AU","gold",1208,0.131304347826087
2016,"The University of Queensland","UQ","AU","green",1114,0.121086956521739
2016,"The University of Queensland","UQ","AU","hybrid",348,0.0378260869565217
2016,"The University of Sydney","US","AU","bronze",1474,0.144368266405485
2016,"The University of Sydney","US","AU","closed",5728,0.56101860920666
2016,"The University of Sydney","US","AU","diamond",169,0.0165523996082272
2016,"The University of Sydney","US","AU","gold",1267,0.12409402546523
2016,"The University of Sydney","US","AU","green",1134,0.111067580803134
2016,"The University of Sydney","US","AU","hybrid",438,0.0428991185112635
2016,"The University of Western Australia","UWA","AU","bronze",837,0.158913992785267
2016,"The University of Western Australia","UWA","AU","closed",2516,0.477691285361686
2016,"The University of Western Australia","UWA","AU","diamond",99,0.0187962787165369
2016,"The University of Western Australia","UWA","AU","gold",732,0.138978545661667
2016,"The University of Western Australia","UWA","AU","green",840,0.159483576988798
2016,"The University of Western Australia","UWA","AU","hybrid",243,0.0461363204860452
2016,"UNSW Sydney","UNSWS","AU","bronze",978,0.108969359331476
2016,"UNSW Sydney","UNSWS","AU","closed",5418,0.603676880222841
2016,"UNSW Sydney","UNSWS","AU","diamond",100,0.011142061281337
2016,"UNSW Sydney","UNSWS","AU","gold",968,0.107855153203343
2016,"UNSW Sydney","UNSWS","AU","green",1151,0.128245125348189
2016,"UNSW Sydney","UNSWS","AU","hybrid",360,0.0401114206128134
2016,"University of Auckland","UOA","NZ","bronze",577,0.122064734503914
2016,"University of Auckland","UOA","NZ","closed",2825,0.597630632536493
2016,"University of Auckland","UOA","NZ","diamond",75,0.0158662999788449
2016,"University of Auckland","UOA","NZ","gold",519,0.109794795853607
2016,"University of Auckland","UOA","NZ","green",546,0.115506663845991
2016,"University of Auckland","UOA","NZ","hybrid",185,0.0391368732811508
2016,"University of Canterbury","UC","NZ","bronze",148,0.104225352112676
2016,"University of Canterbury","UC","NZ","closed",862,0.607042253521127
2016,"University of Canterbury","UC","NZ","diamond",22,0.0154929577464789
2016,"University of Canterbury","UC","NZ","gold",123,0.0866197183098592
2016,"University of Canterbury","UC","NZ","green",189,0.133098591549296
2016,"University of Canterbury","UC","NZ","hybrid",76,0.0535211267605634
2016,"University of Otago","UO","NZ","bronze",431,0.145608108108108
2016,"University of Otago","UO","NZ","closed",1728,0.583783783783784
2016,"University of Otago","UO","NZ","diamond",61,0.0206081081081081
2016,"University of Otago","UO","NZ","gold",374,0.126351351351351
2016,"University of Otago","UO","NZ","green",246,0.0831081081081081
2016,"University of Otago","UO","NZ","hybrid",120,0.0405405405405405
2016,"University of Waikato","UOW","NZ","bronze",93,0.0857142857142857
2016,"University of Waikato","UOW","NZ","closed",596,0.549308755760369
2016,"University of Waikato","UOW","NZ","diamond",50,0.0460829493087558
2016,"University of Waikato","UOW","NZ","gold",75,0.0691244239631336
2016,"University of Waikato","UOW","NZ","green",226,0.208294930875576
2016,"University of Waikato","UOW","NZ","hybrid",45,0.0414746543778802
2016,"Victoria University of Wellington","VUW","NZ","bronze",190,0.0974858902001026
2016,"Victoria University of Wellington","VUW","NZ","closed",1290,0.661877886095434
2016,"Victoria University of Wellington","VUW","NZ","diamond",29,0.0148794253463315
2016,"Victoria University of Wellington","VUW","NZ","gold",104,0.0533606977937404
2016,"Victoria University of Wellington","VUW","NZ","green",279,0.143150333504361
2016,"Victoria University of Wellington","VUW","NZ","hybrid",57,0.0292457670600308
2017,"Auckland University of Technology","AUT","NZ","bronze",90,0.0665188470066519
2017,"Auckland University of Technology","AUT","NZ","closed",824,0.609016999260902
2017,"Auckland University of Technology","AUT","NZ","diamond",37,0.0273466371027347
2017,"Auckland University of Technology","AUT","NZ","gold",159,0.117516629711752
2017,"Auckland University of Technology","AUT","NZ","green",192,0.141906873614191
2017,"Auckland University of Technology","AUT","NZ","hybrid",51,0.0376940133037694
2017,"Australian National University","ANU","AU","bronze",921,0.166185492601949
2017,"Australian National University","ANU","AU","closed",2581,0.465716347888849
2017,"Australian National University","ANU","AU","diamond",106,0.019126669072537
2017,"Australian National University","ANU","AU","gold",571,0.103031396607723
2017,"Australian National University","ANU","AU","green",1092,0.197040779501985
2017,"Australian National University","ANU","AU","hybrid",271,0.0488993143269578
2017,"Lincoln University","LU","NZ","bronze",49,0.110112359550562
2017,"Lincoln University","LU","NZ","closed",258,0.579775280898876
2017,"Lincoln University","LU","NZ","diamond",11,0.0247191011235955
2017,"Lincoln University","LU","NZ","gold",62,0.139325842696629
2017,"Lincoln University","LU","NZ","green",31,0.0696629213483146
2017,"Lincoln University","LU","NZ","hybrid",34,0.0764044943820225
2017,"Massey University","MU","NZ","bronze",191,0.0947420634920635
2017,"Massey University","MU","NZ","closed",1240,0.615079365079365
2017,"Massey University","MU","NZ","diamond",39,0.0193452380952381
2017,"Massey University","MU","NZ","gold",257,0.127480158730159
2017,"Massey University","MU","NZ","green",195,0.0967261904761905
2017,"Massey University","MU","NZ","hybrid",94,0.0466269841269841
2017,"Monash University","MAU","AU","bronze",1427,0.146524283807372
2017,"Monash University","MAU","AU","closed",5347,0.549029674504569
2017,"Monash University","MAU","AU","diamond",144,0.0147859123113256
2017,"Monash University","MAU","AU","gold",1207,0.123934695553958
2017,"Monash University","MAU","AU","green",1250,0.128349933258035
2017,"Monash University","MAU","AU","hybrid",364,0.0373755005647397
2017,"The University of Adelaide","UA","AU","bronze",611,0.13265306122449
2017,"The University of Adelaide","UA","AU","closed",2525,0.548198002605297
2017,"The University of Adelaide","UA","AU","diamond",98,0.0212765957446809
2017,"The University of Adelaide","UA","AU","gold",615,0.133521493703865
2017,"The University of Adelaide","UA","AU","green",551,0.119626574033869
2017,"The University of Adelaide","UA","AU","hybrid",206,0.0447242726877985
2017,"The University of Melbourne","UM","AU","bronze",1572,0.144644828855355
2017,"The University of Melbourne","UM","AU","closed",5167,0.475432462274568
2017,"The University of Melbourne","UM","AU","diamond",217,0.0199668752300331
2017,"The University of Melbourne","UM","AU","gold",1599,0.147129186602871
2017,"The University of Melbourne","UM","AU","green",1786,0.164335664335664
2017,"The University of Melbourne","UM","AU","hybrid",527,0.048490982701509
2017,"The University of Queensland","UQ","AU","bronze",1075,0.115828035772007
2017,"The University of Queensland","UQ","AU","closed",5220,0.562439392306863
2017,"The University of Queensland","UQ","AU","diamond",131,0.0141148583126818
2017,"The University of Queensland","UQ","AU","gold",1433,0.154401465359336
2017,"The University of Queensland","UQ","AU","green",1076,0.115935782782028
2017,"The University of Queensland","UQ","AU","hybrid",346,0.0372804654670833
2017,"The University of Sydney","US","AU","bronze",1524,0.141991987328799
2017,"The University of Sydney","US","AU","closed",5701,0.531165564147955
2017,"The University of Sydney","US","AU","diamond",192,0.01788875430914
2017,"The University of Sydney","US","AU","gold",1498,0.139569551849436
2017,"The University of Sydney","US","AU","green",1382,0.128761762787664
2017,"The University of Sydney","US","AU","hybrid",436,0.0406223795770055
2017,"The University of Western Australia","UWA","AU","bronze",786,0.147939017504235
2017,"The University of Western Australia","UWA","AU","closed",2542,0.478449087144739
2017,"The University of Western Australia","UWA","AU","diamond",80,0.0150574063617542
2017,"The University of Western Australia","UWA","AU","gold",785,0.147750799924713
2017,"The University of Western Australia","UWA","AU","green",886,0.166760775456428
2017,"The University of Western Australia","UWA","AU","hybrid",234,0.044042913608131
2017,"UNSW Sydney","UNSWS","AU","bronze",972,0.102542462285051
2017,"UNSW Sydney","UNSWS","AU","closed",5444,0.574322185884587
2017,"UNSW Sydney","UNSWS","AU","diamond",128,0.0135035341280726
2017,"UNSW Sydney","UNSWS","AU","gold",1202,0.126806625171432
2017,"UNSW Sydney","UNSWS","AU","green",1388,0.146428948201287
2017,"UNSW Sydney","UNSWS","AU","hybrid",345,0.0363962443295706
2017,"University of Auckland","UOA","NZ","bronze",538,0.115425874275906
2017,"University of Auckland","UOA","NZ","closed",2659,0.570478438103411
2017,"University of Auckland","UOA","NZ","diamond",70,0.0150182364299507
2017,"University of Auckland","UOA","NZ","gold",593,0.127225917185153
2017,"University of Auckland","UOA","NZ","green",593,0.127225917185153
2017,"University of Auckland","UOA","NZ","hybrid",208,0.0446256168204248
2017,"University of Canterbury","UC","NZ","bronze",134,0.0885657633840053
2017,"University of Canterbury","UC","NZ","closed",849,0.561136814276272
2017,"University of Canterbury","UC","NZ","diamond",34,0.0224719101123595
2017,"University of Canterbury","UC","NZ","gold",186,0.122934567085261
2017,"University of Canterbury","UC","NZ","green",215,0.142101784534038
2017,"University of Canterbury","UC","NZ","hybrid",95,0.0627891606080634
2017,"University of Otago","UO","NZ","bronze",384,0.120603015075377
2017,"University of Otago","UO","NZ","closed",1774,0.5571608040201
2017,"University of Otago","UO","NZ","diamond",63,0.019786432160804
2017,"University of Otago","UO","NZ","gold",496,0.155778894472362
2017,"University of Otago","UO","NZ","green",312,0.0979899497487437
2017,"University of Otago","UO","NZ","hybrid",155,0.0486809045226131
2017,"University of Waikato","UOW","NZ","bronze",92,0.0480920020909566
2017,"University of Waikato","UOW","NZ","closed",1342,0.701515943544171
2017,"University of Waikato","UOW","NZ","diamond",63,0.032932566649242
2017,"University of Waikato","UOW","NZ","gold",109,0.0569785676947203
2017,"University of Waikato","UOW","NZ","green",243,0.127025614218505
2017,"University of Waikato","UOW","NZ","hybrid",64,0.0334553058024046
2017,"Victoria University of Wellington","VUW","NZ","bronze",204,0.0952380952380952
2017,"Victoria University of Wellington","VUW","NZ","closed",1345,0.627917833800187
2017,"Victoria University of Wellington","VUW","NZ","diamond",42,0.0196078431372549
2017,"Victoria University of Wellington","VUW","NZ","gold",172,0.0802987861811391
2017,"Victoria University of Wellington","VUW","NZ","green",302,0.140989729225023
2017,"Victoria University of Wellington","VUW","NZ","hybrid",77,0.0359477124183007
2018,"Auckland University of Technology","AUT","NZ","bronze",107,0.0790251107828656
2018,"Auckland University of Technology","AUT","NZ","closed",825,0.60930576070901
2018,"Auckland University of Technology","AUT","NZ","diamond",41,0.0302806499261448
2018,"Auckland University of Technology","AUT","NZ","gold",180,0.132939438700148
2018,"Auckland University of Technology","AUT","NZ","green",152,0.112259970457903
2018,"Auckland University of Technology","AUT","NZ","hybrid",49,0.0361890694239291
2018,"Australian National University","ANU","AU","bronze",824,0.149140271493213
2018,"Australian National University","ANU","AU","closed",2638,0.477466063348416
2018,"Australian National University","ANU","AU","diamond",122,0.0220814479638009
2018,"Australian National University","ANU","AU","gold",595,0.107692307692308
2018,"Australian National University","ANU","AU","green",1101,0.199276018099548
2018,"Australian National University","ANU","AU","hybrid",245,0.0443438914027149
2018,"Lincoln University","LU","NZ","bronze",44,0.0952380952380952
2018,"Lincoln University","LU","NZ","closed",275,0.595238095238095
2018,"Lincoln University","LU","NZ","diamond",9,0.0194805194805195
2018,"Lincoln University","LU","NZ","gold",68,0.147186147186147
2018,"Lincoln University","LU","NZ","green",39,0.0844155844155844
2018,"Lincoln University","LU","NZ","hybrid",27,0.0584415584415584
2018,"Massey University","MU","NZ","bronze",190,0.0996329313057158
2018,"Massey University","MU","NZ","closed",1101,0.577346617724174
2018,"Massey University","MU","NZ","diamond",52,0.0272679601468275
2018,"Massey University","MU","NZ","gold",278,0.145778710015732
2018,"Massey University","MU","NZ","green",203,0.106449921342423
2018,"Massey University","MU","NZ","hybrid",83,0.0435238594651285
2018,"Monash University","MAU","AU","bronze",1418,0.141941941941942
2018,"Monash University","MAU","AU","closed",5160,0.516516516516517
2018,"Monash University","MAU","AU","diamond",152,0.0152152152152152
2018,"Monash University","MAU","AU","gold",1371,0.137237237237237
2018,"Monash University","MAU","AU","green",1445,0.144644644644645
2018,"Monash University","MAU","AU","hybrid",444,0.0444444444444444
2018,"The University of Adelaide","UA","AU","bronze",636,0.133305386711381
2018,"The University of Adelaide","UA","AU","closed",2565,0.537623139802976
2018,"The University of Adelaide","UA","AU","diamond",111,0.0232655627750996
2018,"The University of Adelaide","UA","AU","gold",709,0.14860616223014
2018,"The University of Adelaide","UA","AU","green",539,0.112974219241249
2018,"The University of Adelaide","UA","AU","hybrid",211,0.0442255292391532
2018,"The University of Melbourne","UM","AU","bronze",1571,0.137205240174672
2018,"The University of Melbourne","UM","AU","closed",5306,0.463406113537118
2018,"The University of Melbourne","UM","AU","diamond",214,0.0186899563318777
2018,"The University of Melbourne","UM","AU","gold",1842,0.160873362445415
2018,"The University of Melbourne","UM","AU","green",1842,0.160873362445415
2018,"The University of Melbourne","UM","AU","hybrid",675,0.0589519650655022
2018,"The University of Queensland","UQ","AU","bronze",1204,0.124521667183783
2018,"The University of Queensland","UQ","AU","closed",5165,0.534181404488572
2018,"The University of Queensland","UQ","AU","diamond",172,0.0177888095976833
2018,"The University of Queensland","UQ","AU","gold",1545,0.159789016444307
2018,"The University of Queensland","UQ","AU","green",1148,0.118729961733375
2018,"The University of Queensland","UQ","AU","hybrid",435,0.0449891405522805
2018,"The University of Sydney","US","AU","bronze",1677,0.149732142857143
2018,"The University of Sydney","US","AU","closed",5848,0.522142857142857
2018,"The University of Sydney","US","AU","diamond",170,0.0151785714285714
2018,"The University of Sydney","US","AU","gold",1664,0.148571428571429
2018,"The University of Sydney","US","AU","green",1337,0.119375
2018,"The University of Sydney","US","AU","hybrid",504,0.045
2018,"The University of Western Australia","UWA","AU","bronze",784,0.142493638676845
2018,"The University of Western Australia","UWA","AU","closed",2645,0.480734278444202
2018,"The University of Western Australia","UWA","AU","diamond",88,0.0159941839331152
2018,"The University of Western Australia","UWA","AU","gold",854,0.155216284987277
2018,"The University of Western Australia","UWA","AU","green",876,0.159214830970556
2018,"The University of Western Australia","UWA","AU","hybrid",255,0.0463467829880044
2018,"UNSW Sydney","UNSWS","AU","bronze",1148,0.117659116531721
2018,"UNSW Sydney","UNSWS","AU","closed",5177,0.53059342010864
2018,"UNSW Sydney","UNSWS","AU","diamond",164,0.0168084452188173
2018,"UNSW Sydney","UNSWS","AU","gold",1360,0.139387106692631
2018,"UNSW Sydney","UNSWS","AU","green",1505,0.154248232038536
2018,"UNSW Sydney","UNSWS","AU","hybrid",403,0.0413036794096546
2018,"University of Auckland","UOA","NZ","bronze",565,0.114349321999595
2018,"University of Auckland","UOA","NZ","closed",2784,0.563448694596236
2018,"University of Auckland","UOA","NZ","diamond",97,0.0196316535114349
2018,"University of Auckland","UOA","NZ","gold",673,0.136207245496863
2018,"University of Auckland","UOA","NZ","green",615,0.124468731026108
2018,"University of Auckland","UOA","NZ","hybrid",207,0.0418943533697632
2018,"University of Canterbury","UC","NZ","bronze",154,0.0958307405102676
2018,"University of Canterbury","UC","NZ","closed",926,0.576228998133167
2018,"University of Canterbury","UC","NZ","diamond",39,0.0242688238954574
2018,"University of Canterbury","UC","NZ","gold",209,0.13005600497822
2018,"University of Canterbury","UC","NZ","green",220,0.136901057871811
2018,"University of Canterbury","UC","NZ","hybrid",59,0.0367143746110765
2018,"University of Otago","UO","NZ","bronze",427,0.132980379943943
2018,"University of Otago","UO","NZ","closed",1732,0.53939582684522
2018,"University of Otago","UO","NZ","diamond",67,0.0208657739022112
2018,"University of Otago","UO","NZ","gold",548,0.170663344752414
2018,"University of Otago","UO","NZ","green",315,0.0981002802865151
2018,"University of Otago","UO","NZ","hybrid",122,0.0379943942696979
2018,"University of Waikato","UOW","NZ","bronze",78,0.0678851174934726
2018,"University of Waikato","UOW","NZ","closed",654,0.569190600522193
2018,"University of Waikato","UOW","NZ","diamond",30,0.0261096605744125
2018,"University of Waikato","UOW","NZ","gold",106,0.0922541340295909
2018,"University of Waikato","UOW","NZ","green",232,0.201914708442124
2018,"University of Waikato","UOW","NZ","hybrid",49,0.0426457789382071
2018,"Victoria University of Wellington","VUW","NZ","bronze",173,0.0824594852240229
2018,"Victoria University of Wellington","VUW","NZ","closed",1247,0.594375595805529
2018,"Victoria University of Wellington","VUW","NZ","diamond",58,0.0276453765490944
2018,"Victoria University of Wellington","VUW","NZ","gold",188,0.0896091515729266
2018,"Victoria University of Wellington","VUW","NZ","green",353,0.168255481410867
2018,"Victoria University of Wellington","VUW","NZ","hybrid",79,0.0376549094375596
2019,"Auckland University of Technology","AUT","NZ","bronze",87,0.0611384399156711
2019,"Auckland University of Technology","AUT","NZ","closed",819,0.575544624033732
2019,"Auckland University of Technology","AUT","NZ","diamond",51,0.0358397751229796
2019,"Auckland University of Technology","AUT","NZ","gold",233,0.163738580463809
2019,"Auckland University of Technology","AUT","NZ","green",167,0.117357695010541
2019,"Auckland University of Technology","AUT","NZ","hybrid",66,0.0463808854532677
2019,"Australian National University","ANU","AU","bronze",810,0.141682700717159
2019,"Australian National University","ANU","AU","closed",2645,0.462655238761588
2019,"Australian National University","ANU","AU","diamond",115,0.0201154451635473
2019,"Australian National University","ANU","AU","gold",684,0.11964316949449
2019,"Australian National University","ANU","AU","green",1127,0.197131362602764
2019,"Australian National University","ANU","AU","hybrid",336,0.0587720832604513
2019,"Lincoln University","LU","NZ","bronze",35,0.0721649484536082
2019,"Lincoln University","LU","NZ","closed",290,0.597938144329897
2019,"Lincoln University","LU","NZ","diamond",7,0.0144329896907217
2019,"Lincoln University","LU","NZ","gold",104,0.214432989690722
2019,"Lincoln University","LU","NZ","green",24,0.0494845360824742
2019,"Lincoln University","LU","NZ","hybrid",25,0.0515463917525773
2019,"Massey University","MU","NZ","bronze",160,0.0801201802704056
2019,"Massey University","MU","NZ","closed",1095,0.548322483725588
2019,"Massey University","MU","NZ","diamond",51,0.0255383074611918
2019,"Massey University","MU","NZ","gold",364,0.182273410115173
2019,"Massey University","MU","NZ","green",194,0.0971457185778668
2019,"Massey University","MU","NZ","hybrid",133,0.0665998998497747
2019,"Monash University","MAU","AU","bronze",1405,0.131443540087941
2019,"Monash University","MAU","AU","closed",5351,0.500608101786884
2019,"Monash University","MAU","AU","diamond",178,0.0166526335485078
2019,"Monash University","MAU","AU","gold",1767,0.165310131911311
2019,"Monash University","MAU","AU","green",1488,0.139208532135841
2019,"Monash University","MAU","AU","hybrid",500,0.0467770605295163
2019,"The University of Adelaide","UA","AU","bronze",556,0.108614963860129
2019,"The University of Adelaide","UA","AU","closed",2747,0.53662824770463
2019,"The University of Adelaide","UA","AU","diamond",110,0.0214885719867162
2019,"The University of Adelaide","UA","AU","gold",808,0.157843328775151
2019,"The University of Adelaide","UA","AU","green",630,0.123070912287556
2019,"The University of Adelaide","UA","AU","hybrid",268,0.0523539753858175
2019,"The University of Melbourne","UM","AU","bronze",1644,0.131184168528567
2019,"The University of Melbourne","UM","AU","closed",5629,0.449170124481328
2019,"The University of Melbourne","UM","AU","diamond",221,0.0176348547717842
