"year","institution","oa_type","value","pc"
2012,"Lincoln University","closed",220,63.5838150289017
2012,"Lincoln University","gold",51,14.7398843930636
2012,"Lincoln University","hybrid",37,10.6936416184971
2012,"Lincoln University","green",22,6.35838150289017
2012,"Lincoln University","bronze",16,4.6242774566474
2012,"University of Otago","closed",1640,62.6193203512791
2012,"University of Otago","gold",424,16.1893852615502
2012,"University of Otago","hybrid",256,9.77472317678503
2012,"University of Otago","green",191,7.29285987017946
2012,"University of Otago","bronze",108,4.12371134020619
2013,"University of Auckland","closed",2726,66.1971830985916
2013,"University of Auckland","gold",467,11.3404565322972
2013,"University of Auckland","hybrid",410,9.95628946090335
2013,"University of Auckland","green",350,8.49927149101506
2013,"University of Auckland","bronze",165,4.00679941719281
2013,"Auckland University of Technology","closed",624,69.4877505567929
2013,"Auckland University of Technology","gold",105,11.6926503340757
2013,"Auckland University of Technology","hybrid",74,8.24053452115813
2013,"Auckland University of Technology","green",72,8.01781737193764
2013,"Auckland University of Technology","bronze",23,2.56124721603563
2013,"University of Waikato","closed",604,66.0831509846827
2013,"University of Waikato","gold",126,13.7855579868709
2013,"University of Waikato","hybrid",103,11.2691466083151
2013,"University of Waikato","green",57,6.2363238512035
2013,"University of Waikato","bronze",24,2.62582056892779
2013,"Massey University","closed",1034,69.1638795986622
2013,"Massey University","gold",167,11.1705685618729
2013,"Massey University","hybrid",143,9.56521739130435
2013,"Massey University","green",105,7.02341137123746
2013,"Massey University","bronze",46,3.07692307692308
2013,"Victoria University of Wellington","closed",1139,72.0886075949367
2013,"Victoria University of Wellington","gold",179,11.3291139240506
2013,"Victoria University of Wellington","hybrid",160,10.126582278481
2013,"Victoria University of Wellington","green",75,4.74683544303798
2013,"Victoria University of Wellington","bronze",27,1.70886075949367
2013,"University of Canterbury","closed",891,63.7795275590551
2013,"University of Canterbury","gold",196,14.0300644237652
2013,"University of Canterbury","hybrid",147,10.5225483178239
2013,"University of Canterbury","green",111,7.94559770937724
2013,"University of Canterbury","bronze",52,3.72226198997852
2013,"Lincoln University","closed",223,61.0958904109589
2013,"Lincoln University","gold",58,15.8904109589041
2013,"Lincoln University","hybrid",38,10.4109589041096
2013,"Lincoln University","green",33,9.04109589041096
2013,"Lincoln University","bronze",13,3.56164383561644
2013,"University of Otago","closed",1653,61.4041604754829
2013,"University of Otago","gold",373,13.8558692421991
2013,"University of Otago","hybrid",335,12.444279346211
2013,"University of Otago","green",213,7.91233283803863
2013,"University of Otago","bronze",118,4.38335809806835
2014,"University of Auckland","closed",2844,65.1695692025665
2014,"University of Auckland","gold",504,11.5490375802017
2014,"University of Auckland","hybrid",484,11.0907424381302
2014,"University of Auckland","green",369,8.45554537121907
2014,"University of Auckland","bronze",163,3.73510540788268
2014,"Auckland University of Technology","closed",528,61.3953488372093
2014,"Auckland University of Technology","gold",127,14.7674418604651
2014,"Auckland University of Technology","hybrid",100,11.6279069767442
2014,"Auckland University of Technology","green",81,9.41860465116279
2014,"Auckland University of Technology","bronze",24,2.7906976744186
2014,"University of Waikato","closed",565,62.708102108768
2014,"University of Waikato","gold",157,17.4250832408435
2014,"University of Waikato","hybrid",98,10.8768035516093
2014,"University of Waikato","green",62,6.88124306326304
2014,"University of Waikato","bronze",19,2.10876803551609
2014,"Massey University","closed",1028,66.1944623309723
2014,"Massey University","gold",173,11.1397295556986
2014,"Massey University","hybrid",154,9.91629104958145
2014,"Massey University","green",134,8.62846104314231
2014,"Massey University","bronze",64,4.12105602060528
2014,"Victoria University of Wellington","closed",1064,71.4093959731544
2014,"Victoria University of Wellington","gold",157,10.5369127516779
2014,"Victoria University of Wellington","hybrid",140,9.39597315436242
2014,"Victoria University of Wellington","green",103,6.91275167785235
2014,"Victoria University of Wellington","bronze",26,1.74496644295302
2014,"University of Canterbury","closed",899,65.3343023255814
2014,"University of Canterbury","gold",171,12.4273255813953
2014,"University of Canterbury","hybrid",146,10.6104651162791
2014,"University of Canterbury","green",109,7.92151162790698
2014,"University of Canterbury","bronze",51,3.70639534883721
2014,"Lincoln University","closed",209,60.7558139534884
2014,"Lincoln University","gold",64,18.6046511627907
2014,"Lincoln University","hybrid",35,10.1744186046512
2014,"Lincoln University","green",22,6.3953488372093
2014,"Lincoln University","bronze",14,4.06976744186047
2014,"University of Otago","closed",1750,60.9756097560976
2014,"University of Otago","gold",395,13.7630662020906
2014,"University of Otago","hybrid",384,13.3797909407666
2014,"University of Otago","green",213,7.42160278745645
2014,"University of Otago","bronze",128,4.45993031358885
2015,"University of Auckland","closed",2856,62.7692307692308
2015,"University of Auckland","gold",556,12.2197802197802
2015,"University of Auckland","hybrid",550,12.0879120879121
2015,"University of Auckland","green",373,8.1978021978022
2015,"University of Auckland","bronze",215,4.72527472527473
2015,"Auckland University of Technology","closed",671,61.6161616161616
2015,"Auckland University of Technology","gold",149,13.682277318641
2015,"Auckland University of Technology","hybrid",139,12.7640036730946
2015,"Auckland University of Technology","green",95,8.72359963269054
2015,"Auckland University of Technology","bronze",35,3.21395775941231
2015,"University of Waikato","closed",575,59.2783505154639
2015,"University of Waikato","gold",167,17.2164948453608
2015,"University of Waikato","hybrid",120,12.3711340206186
2015,"University of Waikato","green",79,8.14432989690722
2015,"University of Waikato","bronze",29,2.98969072164948
2015,"Massey University","closed",1021,64.2138364779874
2015,"Massey University","gold",174,10.9433962264151
2015,"Massey University","hybrid",170,10.6918238993711
2015,"Massey University","green",149,9.37106918238994
2015,"Massey University","bronze",76,4.77987421383648
2015,"Victoria University of Wellington","closed",1099,66.6060606060606
2015,"Victoria University of Wellington","gold",181,10.969696969697
2015,"Victoria University of Wellington","hybrid",179,10.8484848484848
2015,"Victoria University of Wellington","green",148,8.96969696969697
2015,"Victoria University of Wellington","bronze",43,2.60606060606061
2015,"University of Canterbury","closed",778,57.7151335311573
2015,"University of Canterbury","gold",217,16.0979228486647
2015,"University of Canterbury","hybrid",158,11.7210682492582
2015,"University of Canterbury","green",125,9.27299703264095
2015,"University of Canterbury","bronze",70,5.19287833827893
2015,"Lincoln University","closed",197,57.9411764705882
2015,"Lincoln University","gold",54,15.8823529411765
2015,"Lincoln University","hybrid",49,14.4117647058824
2015,"Lincoln University","green",27,7.94117647058823
2015,"Lincoln University","bronze",13,3.82352941176471
2015,"University of Otago","closed",1757,57.3807968647942
2015,"University of Otago","gold",477,15.5780535597649
2015,"University of Otago","hybrid",451,14.7289353363814
2015,"University of Otago","green",226,7.38079686479425
2015,"University of Otago","bronze",151,4.93141737426519
2016,"University of Auckland","closed",2990,61.1451942740286
2016,"University of Auckland","gold",620,12.678936605317
2016,"University of Auckland","hybrid",599,12.2494887525562
2016,"University of Auckland","green",415,8.48670756646217
2016,"University of Auckland","bronze",266,5.43967280163599
2016,"Auckland University of Technology","closed",786,63.3360193392425
2016,"Auckland University of Technology","gold",196,15.7937147461724
2016,"Auckland University of Technology","hybrid",133,10.7171635777599
2016,"Auckland University of Technology","green",83,6.68815471394037
2016,"Auckland University of Technology","bronze",43,3.46494762288477
2016,"University of Waikato","closed",492,52.1186440677966
2016,"University of Waikato","gold",218,23.0932203389831
2016,"University of Waikato","hybrid",101,10.6991525423729
2016,"University of Waikato","green",87,9.21610169491525
2016,"University of Waikato","bronze",46,4.8728813559322
2016,"Massey University","closed",1109,63.0113636363636
2016,"Massey University","gold",229,13.0113636363636
2016,"Massey University","hybrid",159,9.03409090909091
2016,"Massey University","green",156,8.86363636363636
2016,"Massey University","bronze",107,6.07954545454546
2016,"Victoria University of Wellington","closed",1167,66.533637400228
2016,"Victoria University of Wellington","gold",243,13.8540478905359
2016,"Victoria University of Wellington","hybrid",166,9.46408209806157
2016,"Victoria University of Wellington","green",117,6.67046750285063
2016,"Victoria University of Wellington","bronze",61,3.47776510832383
2016,"University of Canterbury","closed",782,58.8855421686747
2016,"University of Canterbury","gold",202,15.210843373494
2016,"University of Canterbury","hybrid",130,9.78915662650602
2016,"University of Canterbury","green",126,9.48795180722892
2016,"University of Canterbury","bronze",88,6.62650602409639
2016,"Lincoln University","closed",227,55.9113300492611
2016,"Lincoln University","gold",56,13.7931034482759
2016,"Lincoln University","hybrid",52,12.807881773399
2016,"Lincoln University","green",39,9.60591133004926
2016,"Lincoln University","bronze",32,7.88177339901478
2016,"University of Otago","closed",1796,57.2156737814591
2016,"University of Otago","gold",461,14.6862057980248
2016,"University of Otago","hybrid",451,14.3676330041414
2016,"University of Otago","green",253,8.05989168525008
2016,"University of Otago","bronze",178,5.67059573112456
2017,"University of Auckland","closed",2885,58.1418782748892
2017,"University of Auckland","gold",700,14.1072148327287
2017,"University of Auckland","hybrid",572,11.5276098347441
2017,"University of Auckland","green",519,10.459492140266
2017,"University of Auckland","bronze",286,5.76380491737203
2017,"Auckland University of Technology","closed",808,59.499263622975
2017,"Auckland University of Technology","gold",209,15.3902798232695
2017,"Auckland University of Technology","hybrid",198,14.580265095729
2017,"Auckland University of Technology","green",92,6.77466863033873
