"year","institution","country","key","count","pc"
2011,"University of Auckland","nz","diamond",48,1.32049518569464
2011,"Auckland University of Technology","nz","closed",606,74.3558282208589
2011,"Auckland University of Technology","nz","green",85,10.4294478527607
2011,"Auckland University of Technology","nz","bronze",68,8.34355828220859
2011,"Auckland University of Technology","nz","gold",40,4.9079754601227
2011,"Auckland University of Technology","nz","hybrid",11,1.34969325153374
2011,"Auckland University of Technology","nz","diamond",5,0.613496932515337
2011,"University of Waikato","nz","closed",628,69.6230598669623
2011,"University of Waikato","nz","green",132,14.6341463414634
2011,"University of Waikato","nz","bronze",60,6.65188470066519
2011,"University of Waikato","nz","diamond",41,4.54545454545455
2011,"University of Waikato","nz","hybrid",28,3.10421286031042
2011,"University of Waikato","nz","gold",13,1.44124168514412
2011,"Massey University","nz","closed",1265,75.748502994012
2011,"Massey University","nz","bronze",183,10.9580838323353
2011,"Massey University","nz","green",82,4.91017964071856
2011,"Massey University","nz","gold",64,3.83233532934132
2011,"Massey University","nz","hybrid",59,3.53293413173653
2011,"Massey University","nz","diamond",17,1.01796407185629
2011,"Victoria University of Wellington","nz","closed",1203,76.6730401529637
2011,"Victoria University of Wellington","nz","green",142,9.05035054174633
2011,"Victoria University of Wellington","nz","bronze",133,8.47673677501593
2011,"Victoria University of Wellington","nz","gold",51,3.25047801147228
2011,"Victoria University of Wellington","nz","hybrid",25,1.59337157425112
2011,"Victoria University of Wellington","nz","diamond",15,0.956022944550669
2011,"University of Canterbury","nz","closed",1073,72.2558922558922
2011,"University of Canterbury","nz","bronze",152,10.2356902356902
2011,"University of Canterbury","nz","green",148,9.96632996632997
2011,"University of Canterbury","nz","gold",55,3.7037037037037
2011,"University of Canterbury","nz","hybrid",45,3.03030303030303
2011,"University of Canterbury","nz","diamond",12,0.808080808080808
2011,"Lincoln University","nz","closed",228,71.0280373831776
2011,"Lincoln University","nz","bronze",39,12.1495327102804
2011,"Lincoln University","nz","green",26,8.09968847352025
2011,"Lincoln University","nz","gold",17,5.29595015576324
2011,"Lincoln University","nz","hybrid",11,3.42679127725857
2011,"Lincoln University","nz","diamond",0,0
2011,"University of Otago","nz","closed",1588,66.8631578947368
2011,"University of Otago","nz","bronze",372,15.6631578947368
2011,"University of Otago","nz","gold",151,6.35789473684211
2011,"University of Otago","nz","green",150,6.31578947368421
2011,"University of Otago","nz","hybrid",70,2.94736842105263
2011,"University of Otago","nz","diamond",44,1.85263157894737
2011,"University of Melbourne","au","closed",4834,65.043057050592
2011,"University of Melbourne","au","bronze",1100,14.8008611410118
2011,"University of Melbourne","au","green",704,9.47255113024758
2011,"University of Melbourne","au","gold",509,6.84876210979548
2011,"University of Melbourne","au","hybrid",234,3.14854682454252
2011,"University of Melbourne","au","diamond",51,0.686221743810549
2011,"Australian National University","au","closed",2754,63.6027713625866
2011,"Australian National University","au","green",712,16.4434180138568
2011,"Australian National University","au","bronze",560,12.933025404157
2011,"Australian National University","au","gold",186,4.29561200923787
2011,"Australian National University","au","hybrid",85,1.96304849884527
2011,"Australian National University","au","diamond",33,0.762124711316397
2011,"University of Sydney","au","closed",5342,68.1812380344608
2011,"University of Sydney","au","bronze",1100,14.0395660497766
2011,"University of Sydney","au","green",660,8.42373962986598
2011,"University of Sydney","au","gold",441,5.62858966177409
2011,"University of Sydney","au","hybrid",227,2.89725590299936
2011,"University of Sydney","au","diamond",65,0.829610721123165
2011,"University of Queensland","au","closed",4786,70.0732064421669
2011,"University of Queensland","au","bronze",758,11.0980966325037
2011,"University of Queensland","au","green",546,7.99414348462665
2011,"University of Queensland","au","gold",486,7.11566617862372
2011,"University of Queensland","au","hybrid",214,3.13323572474378
2011,"University of Queensland","au","diamond",40,0.585651537335286
2011,"University of Western Australia","au","closed",2427,67.2112988091941
2011,"University of Western Australia","au","bronze",558,15.4527831625588
2011,"University of Western Australia","au","green",321,8.88950429243977
2011,"University of Western Australia","au","gold",199,5.51093879811686
2011,"University of Western Australia","au","hybrid",87,2.40930490168928
