"year","institution","abbrev","country","key","count","pc"
2016,"UNSW Sydney","UNSWS","au","hybrid",359,4.00089156357963
2016,"UNSW Sydney","UNSWS","au","diamond",100,1.11445447453472
2016,"The University of Melbourne","UM","au","closed",5030,49.4932598642133
2016,"The University of Melbourne","UM","au","green",1582,15.5662698022238
2016,"The University of Melbourne","UM","au","bronze",1463,14.3953557020565
2016,"The University of Melbourne","UM","au","gold",1375,13.5294696447899
2016,"The University of Melbourne","UM","au","hybrid",521,5.12643904358949
2016,"The University of Melbourne","UM","au","diamond",192,1.88920594312703
2016,"The University of Sydney","US","au","closed",5736,56.2132497059976
2016,"The University of Sydney","US","au","bronze",1473,14.4355154841239
2016,"The University of Sydney","US","au","gold",1264,12.3872990983928
2016,"The University of Sydney","US","au","green",1127,11.0446883575069
2016,"The University of Sydney","US","au","hybrid",435,4.26303410427283
2016,"The University of Sydney","US","au","diamond",169,1.656213249706
2016,"The University of Queensland","UQ","au","closed",5326,57.9101881048168
2016,"The University of Queensland","UQ","au","gold",1208,13.1347178427748
2016,"The University of Queensland","UQ","au","green",1111,12.0800260954659
2016,"The University of Queensland","UQ","au","bronze",1091,11.8625638795259
2016,"The University of Queensland","UQ","au","hybrid",344,3.74035011416766
2016,"The University of Queensland","UQ","au","diamond",117,1.27215396324889
2016,"The University of Western Australia","UWA","au","closed",2518,47.8252611585945
2016,"The University of Western Australia","UWA","au","bronze",838,15.9164292497626
2016,"The University of Western Australia","UWA","au","green",834,15.8404558404558
2016,"The University of Western Australia","UWA","au","gold",732,13.9031339031339
2016,"The University of Western Australia","UWA","au","hybrid",244,4.6343779677113
2016,"The University of Western Australia","UWA","au","diamond",99,1.88034188034188
2016,"Monash University","MAU","au","closed",4798,56.6804489072652
2016,"Monash University","MAU","au","bronze",1176,13.8924985233314
2016,"Monash University","MAU","au","green",1052,12.4276432368576
2016,"Monash University","MAU","au","gold",992,11.7188422917897
2016,"Monash University","MAU","au","hybrid",322,3.80389840519787
2016,"Monash University","MAU","au","diamond",125,1.47666863555818
2016,"The University of Adelaide","UA","au","closed",2723,58.2210818901005
2016,"The University of Adelaide","UA","au","bronze",607,12.9784049604447
2016,"The University of Adelaide","UA","au","green",521,11.1396194141544
2016,"The University of Adelaide","UA","au","gold",500,10.690613641223
2016,"The University of Adelaide","UA","au","hybrid",215,4.59696386572589
2016,"The University of Adelaide","UA","au","diamond",111,2.37331622835151
2016,"Australian National University","ANU","au","closed",2808,51.2595837897043
2016,"Australian National University","ANU","au","green",952,17.3786053304126
2016,"Australian National University","ANU","au","bronze",857,15.6443957648777
2016,"Australian National University","ANU","au","gold",523,9.54728002920774
2016,"Australian National University","ANU","au","hybrid",228,4.16210295728368
2016,"Australian National University","ANU","au","diamond",110,2.00803212851406
2016,"University of Auckland","UOA","nz","closed",2827,59.8433530906012
2016,"University of Auckland","UOA","nz","bronze",578,12.2353937341236
2016,"University of Auckland","UOA","nz","green",541,11.4521591871296
2016,"University of Auckland","UOA","nz","gold",518,10.965283657917
2016,"University of Auckland","UOA","nz","hybrid",185,3.91617273497036
2016,"University of Auckland","UOA","nz","diamond",75,1.58763759525826
2016,"University of Otago","UO","nz","closed",1729,58.4516565246788
2016,"University of Otago","UO","nz","bronze",430,14.5368492224476
2016,"University of Otago","UO","nz","gold",374,12.6436781609195
2016,"University of Otago","UO","nz","green",245,8.28262339418526
2016,"University of Otago","UO","nz","hybrid",119,4.02298850574713
2016,"University of Otago","UO","nz","diamond",61,2.06220419202164
2016,"Victoria University of Wellington","VUW","nz","closed",1289,66.2044170518747
2016,"Victoria University of Wellington","VUW","nz","green",280,14.3810991268618
2016,"Victoria University of Wellington","VUW","nz","bronze",190,9.75860297894196
2016,"Victoria University of Wellington","VUW","nz","gold",103,5.29019003595275
2016,"Victoria University of Wellington","VUW","nz","hybrid",56,2.87621982537237
2016,"Victoria University of Wellington","VUW","nz","diamond",29,1.4894709809964
2016,"Massey University","MU","nz","closed",1206,65.0485436893204
2016,"Massey University","MU","nz","gold",193,10.4099244875944
2016,"Massey University","MU","nz","bronze",170,9.16936353829558
2016,"Massey University","MU","nz","green",168,9.06148867313916
2016,"Massey University","MU","nz","hybrid",91,4.90830636461704
2016,"Massey University","MU","nz","diamond",26,1.40237324703344
2016,"University of Canterbury","UC","nz","closed",863,60.7746478873239
2016,"University of Canterbury","UC","nz","green",187,13.169014084507
2016,"University of Canterbury","UC","nz","bronze",149,10.4929577464789
2016,"University of Canterbury","UC","nz","gold",123,8.66197183098592
2016,"University of Canterbury","UC","nz","hybrid",76,5.35211267605634
2016,"University of Canterbury","UC","nz","diamond",22,1.54929577464789
2016,"Auckland University of Technology","AUT","nz","closed",798,66.3893510815308
2016,"Auckland University of Technology","AUT","nz","green",164,13.6439267886855
2016,"Auckland University of Technology","AUT","nz","gold",103,8.56905158069883
2016,"Auckland University of Technology","AUT","nz","bronze",80,6.65557404326123
2016,"Auckland University of Technology","AUT","nz","hybrid",37,3.07820299500832
2016,"Auckland University of Technology","AUT","nz","diamond",20,1.66389351081531
2016,"University of Waikato","UOW","nz","closed",597,55.0738007380074
2016,"University of Waikato","UOW","nz","green",223,20.5719557195572
2016,"University of Waikato","UOW","nz","bronze",94,8.67158671586716
2016,"University of Waikato","UOW","nz","gold",75,6.91881918819188
2016,"University of Waikato","UOW","nz","diamond",50,4.61254612546125
2016,"University of Waikato","UOW","nz","hybrid",45,4.15129151291513
2016,"Lincoln University","LU","nz","closed",241,57.1090047393365
2016,"Lincoln University","LU","nz","bronze",59,13.9810426540284
2016,"Lincoln University","LU","nz","gold",54,12.7962085308057
2016,"Lincoln University","LU","nz","hybrid",39,9.24170616113744
2016,"Lincoln University","LU","nz","green",25,5.92417061611374
2016,"Lincoln University","LU","nz","diamond",4,0.947867298578199
2017,"UNSW Sydney","UNSWS","au","closed",5456,57.5527426160338
